;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
;;;;;;
ЗАМОРОЖЕННЫЕ ЯГОДЫ И ФРУКТЫ;;;;;;
Абрикос кубик, с/м, коробка 10 кг;240;;;;;
Абрикос половинки, с/м, коробка 10 кг;225;;;;;
Ананас кубик, коробка 10кг;270;;;;;
Брусника, электронная очистка, коробка 10кг, Карелия;380;;;;;
Вишня б/к 1 класс, Сербия, коробка 10 кг    ;260;;;;;
Вишня с/к. Узбекистан, коробка 10 кг;200;;;;;
Голубика садовая, коробка 10 кг, Карелия;290;;;;;
Груша кубик, коробка 10 кг                                ;270;;;;;
Драгонфрут, коробка 10 кг, Вьетнам;420;;;;;
Ежевика с/м, коробка 10 кг;310;;;;;
Киви кубик, коробка 10 кг;250;;;;;
Клубника А класс, коробка 10 кг, Египет;135;;;;;
Клюква дикорастущая, электронная очистка, коробка 10кг, Карелия   ;540;;;;;
Клюква садовая, коробка 10кг;380;;;;;
Компотная смесь, коробка 10 кг, (крыжовник, клубника,слива, черноплодная рябина)    ;140;;;;;
Красная смородина, коробка 10 кг;150;;;;;
Крыжовник, коробка 10 кг;155;;;;;
Малина экстра, коробка 10 кг;325;;;;;
Манго кубик, коробка 10кг;250;;;;;
Манго половинки, коробка 10 кг Вьетнам;450;;;;;
Манго пюре, Вьетнам, коробка 1*10 кг;450;;;;;
Манго слайс, Египет, Коробка 1*10 кг;360;;;;;
Маракуйя кубик, с/м, коробка 10 кг;590;;;;;
Облепиха дикая,  электронная очистка, коробка 10 кг Карелия;230;;;;;
Облепиха садовая, Китай, коробка 10 кг;;;;;;
Персик кубик 10/10 , коробка 10 кг;250;;;;;
Слива половинка, коробка 10 кг Молдова;150;;;;;
Слива целая с/к, с/м 10 кг Россия ;120;;;;;
Сок лайма;700;;;;;
Черная смородина, коробка 10кг;230;;;;;
Черника дикорастущая, электронная очистка, коробка 10 кг, Карелия;280;;;;;
Черника садовая, коробка 10 кг, Карелия;290;;;;;
Черноплодная рябина, коробка 10 кг Россия;145;;;;;
Яблоко кубик 10/10, коробка 10 кг Россия;180;;;;;
ЗАМОРОЖЕННЫЕ ГРИБЫ;;;;;;
Белый гриб, Экстра , коробка 10 кг, шляпка 4-6 см;890;;;;;
Белый гриб, 1 сорт, коробка 10 кг, шляпка 7-10 см;810;;;;;
Белый гриб кубик, коробка 10 кг;460;;;;;
Лисички, коробка 5 кг;350;;;;;
Опята с/м, Китай, 10 кг;240;;;;;
Шампиньоны резанные с/м, 10 кг;120;;;;;
ЗАМОРОЖЕННЫЕ ОВОЩИ;;;;;;
Баклажан кольца с/м, коробка 10 кг Россия;100;;;;;
Баклажан кубик с/м, коробка 10 кг Россия;90;;;;;
Брокколи, коробка 10 кг Египет;165;;;;;
Брюссельская капуста с/м,  коробка 10 кг;215;;;;;
Горошек зеленый с/м, коробка 10 кг Россия;120;;;;;
Кабачок кольцо рифленое с/м, коробка 9 кг Россия;115;;;;;
Кабачок кубик с/м, коробка 10 кг Россия;80;;;;;
Картофель кубик, коробка 10 кг ;;;;;;
Кукуруза зерно с/м, коробка 10кг Индия;170;;;;;
Кукуруза мини целая, с/м, коробка 10 кг Вьетнам;310;;;;;
Кукуруза початки (калиброванные) , 12кг Индия;160;;;;;
Лук кубик, коробка 10 кг, Россия;90;;;;;
Морковь кружок рифленый, коробка 10 кг Россия;85;;;;;
Морковь кубик, коробка 10 кг, Россия;70;;;;;
Морковь мини, коробка 10 кг Сербия;210;;;;;
Перец кубик, коробка 10 кг Россия;120;;;;;
Перец полоска красная сладкая, коробка 10 кг;160;;;;;
Перец полоска, коробка 10 кг Россия;120;;;;;
Перец целый, коробка 6 кг Россия;120;;;;;
Спаржа зеленая, с/м, коробка 10 кг;650;;;;;
Томаты резанные с/м , коробка 10 кг, Россия;120;;;;;
Тыква кубик, коробка 13 кг Россия;90;;;;;
Фасоль стручковая резанная, коробка 10 кг Египет ;115;;;;;
Фасоль стручковая целая, коробка 8 кг;160;;;;;
Цветная капуста, коробка 10 кг Россия ;135;;;;;
Шпинат листовой, коробка 10 кг;200;;;;;
Шпинат резанный, коробка 10кг;180;;;;;
ЗАМОРОЖЕННЫЕ ОВОЩНЫЕ СМЕСИ И КАРТОФЕЛЬ;;;;;;
Весенняя смесь (цветная капуста, морковь, фасоль, горошек, лук), Россия 10кг;130;;;;;
Гавайская смесь (рис, перец кубик, морковь кубик, кукуруза, горошек) НОВИНКА;130;;;;;
Европейская смесь (брокколи, цветная капуста, фасоль, морковь кружок) Россия, 10кг;135;;;;;
Лечо (томаты, лук,кабачки, морковь, перец сладкий) Россия 10кг;120;;;;;
Мексиканская смесь (кукуруза,морковь, зеленый,горошек, перец сладкий,фасоль) Россия, 10 кг;135;;;;;
Луковые кольца, 1,5кг*6 Турция (цена за кг);480;;;;;
Картофель дольки в кожуре 2,5кг*5 Польша (цена за кг);550;;;;;
Картофель фри 9мм 2,5кг*4 Египет  (цена за кг);400;;;;;
